time_s,requested_valve,valve,rpm,total_flow_kg_s,chamber_pressure_pa,pump_power_w,minimum_npsh_m,estopped,alarms
0.21,0.07058823529411765,0.07058823529411765,23134.329583387535,0.023593792364210633,1086318.9973310458,72.82815089833932,39.32299560363006,False,
0.215,0.07647058823529412,0.07647058823529412,23332.900234617497,0.027217124930523563,1136928.7969739097,92.58262594011711,39.32300273780198,False,
0.22,0.0823529411764706,0.0823529411764706,23523.36710976857,0.031050964530546683,1192778.204090233,115.61350047993432,39.32301139431637,False,
0.225,0.08823529411764708,0.08823529411764708,23706.060928342005,0.03508659712848214,1253762.5944548072,142.15356287175032,39.323021737116655,False,
0.23,0.09411764705882356,0.09411764705882356,23881.29891299665,0.039315546700522536,1319773.0410484564,172.42754234669994,39.32303392971574,False,
0.23500000000000001,0.10000000000000002,0.10000000000000002,24049.385340362438,0.04372957798612915,1390696.865647564,206.65152615543568,39.32304813427904,False,
0.24,0.10588235294117647,0.10588235294117647,24210.612069374845,0.04832069813928594,1466418.166268209,245.0324998342079,39.32306451081685,False,
0.245,0.11176470588235295,0.11176470588235295,24365.259048047737,0.053081157394873124,1546818.3195088913,287.76799984251545,39.323083216479276,False,
0.25,0.11764705882352942,0.11764705882352942,24513.59479956456,0.058003448855866516,1631776.457167089,335.045868077724,39.323104404946626,False,
0.255,0.1235294117647059,0.1235294117647059,24655.87688853185,0.06308030749832727,1721169.9167907217,387.0440981310465,39.32312822590854,False,
0.26,0.12941176470588237,0.12941176470588237,24792.352368204745,0.06830470848305165,1814874.6660708815,443.9307635847547,39.32315482462493,False,
0.265,0.13529411764705884,0.13529411764705884,24923.258209460895,0.07366986485525756,1912765.7011914162,505.8640191413788,39.323184341562346,False,
0.27,0.14117647058823532,0.14117647058823532,25048.8217122678,0.07916922470675233,2014717.4194280964,572.992165904287,39.32321691209932,False,
0.275,0.1470588235294118,0.1470588235294118,25169.260900357876,0.08479646786861303,2120603.966438796,645.4537726806836,39.3232526662946,False,
0.28,0.15294117647058827,0.15294117647058827,25284.784899796658,0.09054550219648376,2230299.5588096306,723.3778457406388,39.32329172871246,False,
0.28500000000000003,0.15882352941176475,0.15882352941176475,25395.594302101425,0.09641045950511509,2343678.782523251,806.8840400293707,39.32333421829966,False,
0.29,0.16470588235294117,0.16470588235294117,25501.881512540716,0.10238569120371162,2460616.8680971386,896.0829053867028,39.32338024830859,False,
0.295,0.17058823529411765,0.17058823529411765,25603.83108421963,0.10846576367898164,2580989.94320416,991.0761618711467,39.32342992626202,False,
0.3,0.17647058823529413,0.17647058823529413,25701.620038530833,0.1146454534684726,2704675.263636941,1091.9569988115188,39.323483353954565,False,
0.305,0.18235294117647058,0.18235294117647058,25795.418172527865,0.12091974226280001,2831551.4235137394,1198.8103927127722,39.32354062748667,False,
0.31,0.18823529411764706,0.18823529411764706,25885.388353754333,0.12728381177171347,2961498.5456481148,1311.713439622096,39.323601837327224,False,
0.315,0.19411764705882353,0.19411764705882353,25971.68680304096,0.1337330384855671,3094398.4530194015,1430.735698014555,39.32366706840088,False,
0.32,0.2,0.2,26054.463365761556,0.14026298836065434,3230134.822287085,1555.9395386834885,39.32373640019692,False,
0.325,0.2058823529411765,0.2058823529411765,26133.86177201889,0.14686941145400692,3368593.3202909427,1687.380498519013,39.32380990689629,False,
0.33,0.21176470588235297,0.21176470588235297,26210.019886212187,0.15354823653062963,3509661.724471305,1825.1076354282786,39.3238876575141,False,
0.335,0.21764705882352944,0.21764705882352944,26283.069946419717,0.16029556566372627,3653230.028130979,1969.163881993887,39.32396971605491,False,
0.34,0.22352941176470592,0.22352941176470592,26353.138794011964,0.16710766884625522,3799190.5314431353,2119.586395782767,39.324056141678355,False,
0.34500000000000003,0.2294117647058824,0.2294117647058824,26420.348093894234,0.1739809786301185,3947437.9190885387,2276.406904507612,39.324146988873046,False,
0.35000000000000003,0.23529411764705888,0.23529411764705888,26484.814545760993,0.18091208480742416,4097869.3253815714,2439.6520445078495,39.3242423076367,False,
